============================================================
  Generated by:           Encounter(R) RTL Compiler v09.10-p104_1
  Generated on:           May 13 2011  09:14:29 PM
  Module:                 top_main
  Technology library:     CORE9GPHS 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                                       Leakage     Dynamic      Total    
           Instance            Cells  Power(nW)   Power(nW)   Power(nW)  
-------------------------------------------------------------------------
top_main                        9865 3876104.705 1205382.145 5081486.850 
  Equalizer_comp                8352 3235273.869  657139.579 3892413.448 
    buffer_comp                 5413 2158062.828  144983.049 2303045.877 
      sub_62_60                    6    1321.324     672.599    1993.923 
    FILTER_BLOCK_MAIN           2826  959922.917  401863.714 1361786.631 
      FIR2                       436  163752.270   50599.573  214351.844 
        mul_76_69                318  104782.189   27611.787  132393.976 
        add_77_49                 26   15138.544    3985.380   19123.924 
        add_74_57                 13    7692.094       0.000    7692.094 
      FIR1                       436  161905.563   54542.106  216447.669 
        mul_76_69                318  102935.482   31477.228  134412.710 
        add_77_49                 26   15138.544    3987.268   19125.812 
        add_74_57                 13    7692.094       0.000    7692.094 
      csa_tree_add12521_groupi    13    6471.590    1487.818    7959.409 
      csa_tree_add12621_groupi    13    6442.777    4383.417   10826.193 
      inc_add_129_40_1             9    2941.923     802.243    3744.166 
      inc_add_126_48_2             5    1423.919     427.819    1851.738 
      add_141_56                   3     680.414     153.086     833.500 
      lt_128_30                    2     607.738     234.701     842.438 
      lt_140_38                    1     407.983       0.000     407.983 
  Amplifier_COMP                1281  566781.330  134366.773  701148.102 
    inc_add_94_31_3               61   21479.159       0.000   21479.159 
    add_91_59                     27   15925.569    2271.398   18196.967 
    mul_79_88                     37   12752.851   10971.484   23724.335 
  sd_comp                        232   74049.507   26795.844  100845.351 
    A1                            48   14454.281     220.559   14674.840 
      G[1].mi                      3    1069.500       0.000    1069.500 
      G[10].mi                     3    1011.917       0.000    1011.917 
      G[2].mi                      3    1011.917       0.000    1011.917 
      G[3].mi                      3    1011.917       0.000    1011.917 
      G[4].mi                      3    1011.917       0.000    1011.917 
      G[5].mi                      3    1011.917       0.000    1011.917 
      G[6].mi                      3    1011.917       0.000    1011.917 
      G[7].mi                      3    1011.917       0.000    1011.917 
      G[8].mi                      3    1011.917       0.000    1011.917 
      G[9].mi                      3    1011.917       0.000    1011.917 
      mn                           3    1011.917       0.000    1011.917 
      m0                           1     404.797     105.521     510.318 
    A3                            48   13311.041    4643.499   17954.540 
      G[2].mi                      3     974.397     311.621    1286.018 
      G[3].mi                      3     974.397     311.621    1286.018 
      G[4].mi                      3     974.397     311.621    1286.018 
      G[5].mi                      3     974.397     311.621    1286.018 
      G[6].mi                      3     974.397     311.621    1286.018 
      G[7].mi                      3     974.397     311.621    1286.018 
      G[8].mi                      3     974.397     311.621    1286.018 
      G[1].mi                      3     906.527     186.846    1093.373 
      G[10].mi                     3     810.509     290.542    1101.051 
      G[9].mi                      3     810.509     241.430    1051.939 
      mn                           3     810.509     295.197    1105.706 
      m0                           1     404.797     105.521     510.318 
    A2                            55   12588.364    5807.306   18395.670 
      G[10].mi                     3     974.397     363.398    1337.795 
      G[1].mi                      3     839.301     243.387    1082.688 
      G[2].mi                      3     810.509     241.366    1051.875 
      G[3].mi                      3     810.509     241.718    1052.227 
      G[4].mi                      3     810.509     246.907    1057.417 
      G[5].mi                      3     810.509     247.263    1057.773 
      G[6].mi                      3     810.509     247.263    1057.773 
      G[7].mi                      3     810.509     242.446    1052.956 
      G[8].mi                      3     810.509     242.114    1052.624 
      G[9].mi                      3     810.509     244.793    1055.303 
      mn                           3     810.509     289.909    1100.418 
      m0                           1     245.961     125.967     371.928 
    A0                            56   11754.337    3795.570   15549.907 
      mn                           3    1042.267     161.329    1203.596 
      G[10].mi                     3     609.102       0.000     609.102 
      G[1].mi                      3     609.102       0.000     609.102 
      G[2].mi                      3     609.102       0.000     609.102 
      G[3].mi                      3     609.102       0.000     609.102 
      G[4].mi                      3     609.102       0.000     609.102 
      G[5].mi                      3     609.102       0.000     609.102 
      G[6].mi                      3     609.102       0.000     609.102 
      G[7].mi                      3     609.102       0.000     609.102 
      G[8].mi                      3     609.102       0.000     609.102 
      G[9].mi                      3     609.102       0.000     609.102 
      m0                           1     226.102       0.000     226.102 
    L2                            12   11581.573    6798.998   18380.571 
    L1                            12   10278.312    5493.937   15772.249 

