============================================================
  Generated by:           Encounter(R) RTL Compiler v09.10-p104_1
  Generated on:           May 12 2011  05:32:57 PM
  Module:                 top_main
  Technology library:     CORE9GPHS 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                                       Leakage     Dynamic       Total    
           Instance            Cells  Power(nW)   Power(nW)    Power(nW)  
--------------------------------------------------------------------------
top_main                       18749 7308781.572 7735959.747 15044741.319 
  Equalizer_comp               14677 5424854.677 5184968.438 10609823.115 
    buffer_comp                10647 4132022.698 3652922.964  7784945.662 
      sub_62_60                    6    1421.499    4438.569     5860.068 
    FILTER_BLOCK_MAIN           3917 1175551.738 1310783.213  2486334.951 
      FIR2                       436  159788.388  201484.255   361272.643 
        mul_76_69                318  101019.663  114709.310   215728.973 
        add_77_49                 26   15109.331   25998.566    41107.897 
        add_74_57                 13    7544.601   21769.480    29314.081 
      FIR1                       436  159170.753  122673.553   281844.306 
        mul_76_69                318  100396.848   38806.372   139203.220 
        add_77_49                 26   15109.474   22943.110    38052.584 
        add_74_57                 13    7544.601   21769.480    29314.081 
      csa_tree_add12521_groupi    13    6508.957    9203.401    15712.358 
      csa_tree_add12621_groupi    13    6440.034   13625.262    20065.296 
      inc_add_129_40_9            11    3330.731    2346.868     5677.599 
      inc_add_126_48_10            5    1423.664     853.621     2277.285 
      add_141_56                   3     680.293     304.121      984.414 
      lt_128_30                    2     643.341     517.218     1160.559 
      lt_140_38                    1     407.740       0.000      407.740 
  Amplifier_COMP                1808  838680.801 1047506.307  1886187.107 
    mul_79_88                    359  110023.242  296423.103   406446.345 
    inc_add_94_31_11              61   20386.860    8013.493    28400.353 
    add_91_59                     27   15819.997   26784.424    42604.421 
  Receiver_comp                  854  451481.515  526136.069   977617.585 
    inc_add_73_47_2               19    6191.101     898.092     7089.193 
    inc_ADD_UNS_OP_4               5    1509.695    2963.507     4473.202 
    inc_add_78_27_3                5    1379.156    1181.736     2560.892 
    inc_add_151_31_1               3    1136.713    2089.002     3225.715 
    lt_76_22                       1     166.991     293.866      460.856 
  adding_signals                 788  391331.107  548687.054   940018.161 
    inc_add_62_25_8               61   20498.954    8606.848    29105.802 
    add_59_92_I2                  17    9570.293   24074.934    33645.227 
    add_59_92_I4                  17    9566.126   25441.301    35007.427 
    add_59_92_I8                  17    9562.350   29036.502    38598.852 
    add_59_92_I7                  17    9556.774   27972.469    37529.243 
    add_59_92_I5                  17    9551.727   25412.483    34964.210 
    add_59_92_I3                  17    9542.263   24845.422    34387.685 
    add_59_92_I6                  17    9541.006   25883.839    35424.845 
    add_59_92_I1                  17    9540.071   24176.373    33716.443 
  sd_comp                        232   74733.303  101188.486   175921.789 
    A0                            56   13607.747   25163.545    38771.293 
      G[9].mi                      3     912.518    1127.434     2039.952 
      G[8].mi                      3     901.823    1081.416     1983.239 
      G[7].mi                      3     899.338    1154.089     2053.427 
      G[3].mi                      3     893.345    1240.327     2133.671 
      G[5].mi                      3     886.604    1148.879     2035.483 
      G[4].mi                      3     885.733    1196.867     2082.600 
      G[6].mi                      3     882.064    1158.260     2040.324 
      G[10].mi                     3     880.798    1280.656     2161.454 
      G[2].mi                      3     858.910    1311.743     2170.653 
      mn                           3     856.055    1240.486     2096.541 
      G[1].mi                      3     841.285    1322.348     2163.633 
      m0                           1     226.011     318.934      544.944 
    A3                            48   13302.048   10852.090    24154.138 
      G[2].mi                      3     968.513     776.563     1745.076 
      G[3].mi                      3     968.513     776.563     1745.076 
      G[4].mi                      3     968.513     776.563     1745.076 
      G[5].mi                      3     968.513     776.563     1745.076 
      G[6].mi                      3     968.513     776.563     1745.076 
      G[7].mi                      3     968.513     776.563     1745.076 
