============================================================
  Generated by:           Encounter(R) RTL Compiler v09.10-p104_1
  Generated on:           May 12 2011  04:31:01 PM
  Module:                 top_main
  Technology library:     CORE9GPHS 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                                        Leakage     Dynamic       Total    
           Instance            Cells   Power(nW)   Power(nW)    Power(nW)  
---------------------------------------------------------------------------
top_main                       28106 11107844.220 4833181.812 15941026.032 
  Equalizer_comp               24074  9236710.802 3856908.641 13093619.443 
    buffer_comp                18678  7659909.087 3548506.161 11208415.248 
      sub_62_60                    4      922.736     371.265     1294.001 
    FILTER_BLOCK_MAIN           5283  1462728.870  251472.302  1714201.172 
      FIR2                       436   158434.059   11504.220   169938.279 
        mul_76_69                318    98921.904    1866.028   100787.932 
        add_77_49                 26    15512.427     124.783    15637.211 
        add_74_57                 13     7578.211    7097.740    14675.950 
      FIR1                       436   158245.340   11984.920   170230.259 
        mul_76_69                318    98750.073    2221.464   100971.537 
        add_77_49                 26    15495.538     250.047    15745.585 
        add_74_57                 13     7578.211    7097.740    14675.950 
      csa_tree_add12621_groupi    13     6490.654    1122.072     7612.726 
      csa_tree_add12721_groupi    13     6441.310    1604.321     8045.632 
      inc_add_130_40_9            13     4148.755      96.388     4245.142 
      inc_add_127_48_10            3     1129.613     324.945     1454.558 
      add_142_56                   3      680.414     113.947      794.361 
      lt_129_30                    3      637.698       0.000      637.698 
      lt_141_38                    1      407.983       0.000      407.983 
  Amplifier_COMP                1808   850706.023  403464.207  1254170.230 
    mul_79_88                    359   109191.745   88176.015   197367.760 
    inc_add_94_31_11              61    21197.870       0.000    21197.870 
    add_91_59                     27    15800.149   14136.727    29936.876 
  Receiver_comp                  843   434797.795  226839.085   661636.880 
    inc_add_73_47_2               15     4921.292     126.345     5047.637 
    inc_ADD_UNS_OP_4               5     1485.691    1495.830     2981.521 
    inc_add_151_31_1               5     1456.156     356.961     1813.117 
    inc_add_78_27_3                5     1456.156     324.842     1780.997 
    lt_76_22                       1      168.645     163.166      331.811 
  adding_signals                 788   391470.521  166711.789   558182.310 
    inc_add_62_25_8               61    21501.748     105.165    21606.913 
    add_59_92_I1                  17     9556.921    5937.185    15494.106 
    add_59_92_I2                  17     9556.921    5937.185    15494.106 
    add_59_92_I3                  17     9556.921    5937.185    15494.106 
    add_59_92_I4                  17     9556.921    5937.185    15494.106 
    add_59_92_I5                  17     9556.921    5937.185    15494.106 
    add_59_92_I6                  17     9556.921    5937.185    15494.106 
    add_59_92_I7                  17     9556.921    5937.185    15494.106 
    add_59_92_I8                  17     9556.921    5937.185    15494.106 
  sd_comp                        232    74049.507   20228.701    94278.208 
    A1                            48    14454.281     165.419    14619.700 
      G[1].mi                      3     1069.500       0.000     1069.500 
      G[10].mi                     3     1011.917       0.000     1011.917 
      G[2].mi                      3     1011.917       0.000     1011.917 
      G[3].mi                      3     1011.917       0.000     1011.917 
      G[4].mi                      3     1011.917       0.000     1011.917 
      G[5].mi                      3     1011.917       0.000     1011.917 
      G[6].mi                      3     1011.917       0.000     1011.917 
      G[7].mi                      3     1011.917       0.000     1011.917 
      G[8].mi                      3     1011.917       0.000     1011.917 
      G[9].mi                      3     1011.917       0.000     1011.917 
      mn                           3     1011.917       0.000     1011.917 
      m0                           1      404.797      79.141      483.938 
    A3                            48    13311.041    3482.624    16793.665 
      G[2].mi                      3      974.397     233.716     1208.113 
      G[3].mi                      3      974.397     233.716     1208.113 
      G[4].mi                      3      974.397     233.716     1208.113 
      G[5].mi                      3      974.397     233.716     1208.113 
      G[6].mi                      3      974.397     233.716     1208.113 
      G[7].mi                      3      974.397     233.716     1208.113 
      G[8].mi                      3      974.397     233.716     1208.113 
      G[1].mi                      3      906.527     140.135     1046.661 
      G[10].mi                     3      810.509     217.906     1028.415 
      G[9].mi                      3      810.509     181.072      991.582 
      mn                           3      810.509     221.397     1031.907 
      m0                           1      404.797      79.141      483.938 
    A2                            55    12588.364    4355.480    16943.844 
      G[10].mi                     3      974.397     272.549     1246.946 
      G[1].mi                      3      839.301     182.540     1021.841 
      G[2].mi                      3      810.509     181.024      991.533 
      G[3].mi                      3      810.509     181.288      991.798 
      G[4].mi                      3      810.509     185.181      995.690 
      G[5].mi                      3      810.509     185.448      995.957 
      G[6].mi                      3      810.509     185.448      995.957 
      G[7].mi                      3      810.509     181.835      992.344 
      G[8].mi                      3      810.509     181.586      992.095 
      G[9].mi                      3      810.509     183.595      994.104 
      mn                           3      810.509     217.432     1027.941 
      m0                           1      245.961      94.475      340.437 
    A0                            56    11754.337    2846.671    14601.008 
      mn                           3     1042.267     120.991     1163.257 
      G[10].mi                     3      609.102       0.000      609.102 
      G[1].mi                      3      609.102       0.000      609.102 
      G[2].mi                      3      609.102       0.000      609.102 
      G[3].mi                      3      609.102       0.000      609.102 
      G[4].mi                      3      609.102       0.000      609.102 
      G[5].mi                      3      609.102       0.000      609.102 
      G[6].mi                      3      609.102       0.000      609.102 
