============================================================
  Generated by:           Encounter(R) RTL Compiler v09.10-p104_1
  Generated on:           May 12 2011  04:10:35 PM
  Module:                 top_main
  Technology library:     CORE9GPHS 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                                        Leakage      Dynamic       Total    
           Instance            Cells   Power(nW)    Power(nW)    Power(nW)  
----------------------------------------------------------------------------
top_main                       28171 11173463.873 17749619.530 28923083.403 
  Equalizer_comp               24074  9282443.745 13355462.738 22637906.483 
    buffer_comp                18678  7706110.782 10425748.479 18131859.261 
      sub_62_60                    4      969.293     1980.080     2949.372 
    FILTER_BLOCK_MAIN           5283  1461985.477  2628654.723  4090640.200 
      FIR1                       436   159369.655   341262.962   500632.616 
        mul_76_69                318   101029.694   174111.466   275141.160 
        add_77_49                 26    15149.909    52633.689    67783.598 
        add_74_57                 13     7578.211    37854.611    45432.822 
      FIR2                       436   158134.839   387067.671   545202.510 
        mul_76_69                318    99926.782   207604.882   307531.664 
        add_77_49                 26    15166.226    67849.243    83015.469 
        add_74_57                 13     7578.211    37854.611    45432.822 
      csa_tree_add12621_groupi    13     6465.399    14273.861    20739.260 
      csa_tree_add12721_groupi    13     6417.070    21259.327    27676.396 
      inc_add_130_40_9            13     4056.666     3934.088     7990.753 
      inc_add_127_48_10            3     1138.335     3809.731     4948.066 
      add_142_56                   3      691.130      718.493     1409.623 
      lt_129_30                    3      624.669      680.001     1304.670 
      lt_141_38                    1      389.773      526.573      916.347 
  Amplifier_COMP                1808   832778.874  1927936.473  2760715.347 
    mul_79_88                    359   109950.876   653014.465   762965.341 
    inc_add_94_31_11              61    20273.245     9825.914    30099.159 
    add_91_59                     27    15870.823    62057.360    77928.183 
  Receiver_comp                  859   458220.755   736148.250  1194369.006 
    inc_add_73_47_2               21     6570.646     2957.711     9528.357 
    inc_ADD_UNS_OP_4               7     1959.489     2464.581     4424.070 
    inc_add_78_27_3                5     1391.162     1581.145     2972.307 
    inc_add_151_31_1               5     1203.573     1798.989     3002.562 
    lt_76_22                       1      176.315      218.139      394.454 
  adding_signals                 788   390454.462   789407.692  1179862.154 
    inc_add_62_25_8               61    20514.435    10541.812    31056.247 
    add_59_92_I4                  17     9582.565    34383.878    43966.442 
    add_59_92_I6                  17     9569.157    35319.278    44888.435 
    add_59_92_I2                  17     9567.792    35843.908    45411.700 
    add_59_92_I8                  17     9565.419    40124.597    49690.017 
    add_59_92_I1                  17     9558.197    40870.916    50429.113 
    add_59_92_I7                  17     9548.393    34636.232    44184.625 
    add_59_92_I5                  17     9548.373    38561.172    48109.545 
    add_59_92_I3                  17     9548.107    42015.115    51563.222 
  sd_comp                        232    75427.398   165692.860   241120.258 
    A1                            48    14330.311    38696.801    53027.112 
      G[1].mi                      3     1044.177     2158.569     3202.747 
      G[6].mi                      3     1015.589     2564.673     3580.262 
      G[8].mi                      3     1014.153     2440.287     3454.440 
      G[2].mi                      3     1011.918     2492.733     3504.650 
      G[3].mi                      3     1009.889     2267.797     3277.685 
      G[4].mi                      3     1009.889     2267.797     3277.685 
      G[5].mi                      3     1007.824     2538.393     3546.216 
      G[7].mi                      3     1005.495     2111.748     3117.243 
      G[9].mi                      3     1002.654     2160.725     3163.378 
      G[10].mi                     3      986.498     2009.296     2995.794 
      mn                           3      924.613     3046.023     3970.636 
      m0                           1      385.814     1354.343     1740.157 
    A0                            56    13961.801    36129.798    50091.599 
      G[7].mi                      3      981.997     2153.831     3135.828 
      G[9].mi                      3      980.747     2473.076     3453.823 
      G[1].mi                      3      968.415     2312.075     3280.490 
      G[2].mi                      3      967.198     2190.327     3157.524 
      G[10].mi                     3      965.486     2292.560     3258.045 
      G[6].mi                      3      962.620     2321.714     3284.334 
      mn                           3      826.827     1956.645     2783.472 
      G[8].mi                      3      810.509      967.204     1777.713 
      G[3].mi                      3      805.998     1082.940     1888.938 
