============================================================
  Generated by:           Encounter(R) RTL Compiler v09.10-p104_1
  Generated on:           May 13 2011  09:49:57 PM
  Module:                 top_main
  Technology library:     CORE9GPHS 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                                       Leakage     Dynamic     Total    
           Instance            Cells  Power(nW)   Power(nW)  Power(nW)  
------------------------------------------------------------------------
top_main                        9865 3917870.568 317350.468 4235221.036 
  Equalizer_comp                8352 3189032.596 231537.920 3420570.515 
    buffer_comp                 5413 2119212.142 137315.638 2256527.780 
      sub_62_60                    6    1323.715     19.630    1343.345 
    FILTER_BLOCK_MAIN           2826  955981.801  82271.945 1038253.746 
      FIR2                       436  163263.170  20878.789  184141.959 
        mul_76_69                318  104712.076  10741.537  115453.613 
        add_77_49                 26   15100.068   3995.009   19095.077 
        add_74_57                 13    7523.702    797.798    8321.500 
      FIR1                       436  161908.052  20583.069  182491.121 
        mul_76_69                318  103350.661  10497.928  113848.590 
        add_77_49                 26   15104.812   3962.581   19067.393 
        add_74_57                 13    7523.702    797.798    8321.500 
      csa_tree_add12521_groupi    13    6523.364     69.020    6592.384 
      csa_tree_add12621_groupi    13    6420.732    162.058    6582.790 
      inc_add_129_40_1             9    2721.166     57.934    2779.100 
      inc_add_126_48_2             5    1333.900      1.253    1335.153 
      add_141_56                   3     684.477      0.291     684.768 
      lt_128_30                    2     661.802      2.372     664.174 
      lt_140_38                    1     354.209      0.208     354.417 
  Amplifier_COMP                1281  640725.434  38936.650  679662.084 
    inc_add_94_31_3               61   31211.977      0.000   31211.977 
    add_91_59                     27   16307.766      0.000   16307.766 
    mul_79_88                     37   13961.809      0.000   13961.809 
  sd_comp                        232   88112.539   2604.767   90717.306 
    A0                            56   17187.283      0.000   17187.283 
      G[10].mi                     3     944.250      0.000     944.250 
      G[1].mi                      3     944.250      0.000     944.250 
      G[2].mi                      3     944.250      0.000     944.250 
      G[3].mi                      3     944.250      0.000     944.250 
      G[4].mi                      3     944.250      0.000     944.250 
      G[5].mi                      3     944.250      0.000     944.250 
      G[6].mi                      3     944.250      0.000     944.250 
      G[7].mi                      3     944.250      0.000     944.250 
      G[8].mi                      3     944.250      0.000     944.250 
      G[9].mi                      3     944.250      0.000     944.250 
      mn                           3     944.250      0.000     944.250 
      m0                           1     322.139      0.000     322.139 
    A2                            55   17035.283      0.000   17035.283 
      G[10].mi                     3     944.250      0.000     944.250 
      G[1].mi                      3     944.250      0.000     944.250 
      G[2].mi                      3     944.250      0.000     944.250 
      G[3].mi                      3     944.250      0.000     944.250 
      G[4].mi                      3     944.250      0.000     944.250 
      G[5].mi                      3     944.250      0.000     944.250 
      G[6].mi                      3     944.250      0.000     944.250 
      G[7].mi                      3     944.250      0.000     944.250 
      G[8].mi                      3     944.250      0.000     944.250 
      G[9].mi                      3     944.250      0.000     944.250 
      mn                           3     944.250      0.000     944.250 
      m0                           1     322.139      0.000     322.139 
    A1                            48   16256.999      0.000   16256.999 
      G[10].mi                     3     944.250      0.000     944.250 
      G[1].mi                      3     944.250      0.000     944.250 
      G[2].mi                      3     944.250      0.000     944.250 
      G[3].mi                      3     944.250      0.000     944.250 
      G[4].mi                      3     944.250      0.000     944.250 
      G[5].mi                      3     944.250      0.000     944.250 
      G[6].mi                      3     944.250      0.000     944.250 
      G[7].mi                      3     944.250      0.000     944.250 
      G[8].mi                      3     944.250      0.000     944.250 
      G[9].mi                      3     944.250      0.000     944.250 
      mn                           3     944.250      0.000     944.250 
      m0                           1     389.544      0.000     389.544 
    A3                            48   16256.999      0.000   16256.999 
      G[10].mi                     3     944.250      0.000     944.250 
      G[1].mi                      3     944.250      0.000     944.250 
      G[2].mi                      3     944.250      0.000     944.250 
      G[3].mi                      3     944.250      0.000     944.250 
      G[4].mi                      3     944.250      0.000     944.250 
      G[5].mi                      3     944.250      0.000     944.250 
      G[6].mi                      3     944.250      0.000     944.250 
      G[7].mi                      3     944.250      0.000     944.250 
      G[8].mi                      3     944.250      0.000     944.250 
      G[9].mi                      3     944.250      0.000     944.250 
      mn                           3     944.250      0.000     944.250 
      m0                           1     389.544      0.000     389.544 
    L2                            12   10983.559   1397.027   12380.587 
    L1                            12   10240.416   1207.740   11448.156 

